date,point_forecast,mean,q10,q20,q30,q40,q50,q60,q70,q80,q90
2025-01-01,1.2223774,1.2215941,1.1230626,1.1613994,1.1832486,1.2030284,1.2223774,1.2409887,1.2626991,1.2927711,1.339603
2025-02-01,1.2563584,1.2502017,1.1482248,1.1891649,1.213403,1.2355919,1.2563584,1.2787915,1.3061509,1.3358023,1.3880285
2025-03-01,1.286477,1.2816918,1.1694772,1.2141374,1.2430503,1.2636719,1.286477,1.3101406,1.3365127,1.3725821,1.4265702
2025-04-01,1.2404882,1.2406753,1.119298,1.1689229,1.1957527,1.2162383,1.2404882,1.2653592,1.2880776,1.3237737,1.3806401
2025-05-01,1.2026378,1.1969143,1.0776876,1.1280149,1.1554759,1.1801765,1.2026378,1.227407,1.2546852,1.2890899,1.3469676
2025-06-01,1.21002,1.1963897,1.0811385,1.1352497,1.168746,1.1853771,1.21002,1.2333429,1.2559942,1.2938039,1.3532466
2025-07-01,1.2253109,1.2151253,1.0917631,1.1474795,1.1764129,1.2029412,1.2253109,1.2509559,1.2764854,1.3113453,1.3728348
2025-08-01,1.2421814,1.2292918,1.1043029,1.1598811,1.1929151,1.2164186,1.2421814,1.2669979,1.2924675,1.3304923,1.3949751
2025-09-01,1.2697352,1.2603163,1.1239274,1.1872941,1.2162874,1.242951,1.2697352,1.2976496,1.3236799,1.358003,1.4252188
2025-10-01,1.2496668,1.2436221,1.0962446,1.1630417,1.1938806,1.221712,1.2496668,1.2757388,1.3041385,1.3376694,1.4098163
2025-11-01,1.2135265,1.2031628,1.0545523,1.122358,1.157211,1.1864623,1.2135265,1.2447277,1.270653,1.3091388,1.3801678
2025-12-01,1.2034141,1.1867242,1.0412307,1.1113251,1.1433371,1.1752326,1.2034141,1.2308054,1.262196,1.2912498,1.3700783
